Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,원정팀결과,홈팀결과,비고
2011-07-28 18:30,사직,SK,4,6,롯데,패,승,정규시즌
2011-07-29 18:30,사직,두산,1,4,롯데,패,승,정규시즌
2011-07-30 17:00,사직,두산,6,8,롯데,패,승,정규시즌
2011-07-31 17:00,사직,두산,7,8,롯데,패,승,정규시즌
2011-08-05 18:30,사직,삼성,2,0,롯데,승,패,정규시즌
2011-08-06 17:00,사직,삼성,4,11,롯데,패,승,정규시즌
2011-08-07 17:00,사직,삼성,3,1,롯데,승,패,정규시즌
2011-08-09 18:30,사직,넥센,3,1,롯데,승,패,정규시즌
2011-08-10 18:30,사직,넥센,3,4,롯데,패,승,정규시즌
2011-08-11 18:30,사직,넥센,3,5,롯데,패,승,정규시즌
2011-08-20 17:00,사직,SK,5,2,롯데,승,패,정규시즌
2011-08-21 17:00,사직,SK,1,9,롯데,패,승,정규시즌
2011-08-23 18:30,사직,기아,9,13,롯데,패,승,정규시즌
2011-08-24 18:30,사직,기아,4,12,롯데,패,승,정규시즌
2011-08-25 18:30,사직,기아,0,6,롯데,패,승,정규시즌
2011-08-30 18:30,사직,삼성,13,3,롯데,승,패,정규시즌
2011-08-31 18:30,사직,삼성,2,8,롯데,패,승,정규시즌
2011-09-01 18:30,사직,기아,1,2,롯데,패,승,정규시즌
2011-09-10 17:00,사직,넥센,6,7,롯데,패,승,정규시즌
2011-09-11 17:00,사직,넥센,2,2,롯데,무,무,정규시즌
2011-09-20 18:30,사직,SK,4,5,롯데,패,승,정규시즌
2011-09-21 18:30,사직,SK,6,2,롯데,승,패,정규시즌
2011-09-22 18:30,사직,SK,2,12,롯데,패,승,정규시즌
2011-09-30 18:30,사직,두산,3,6,롯데,패,승,정규시즌
2011-10-04 18:30,사직,한화,2,20,롯데,패,승,정규시즌
2011-10-05 18:30,사직,한화,3,6,롯데,패,승,정규시즌
2011-10-06 18:30,사직,한화,3,5,롯데,패,승,정규시즌
2011-10-16 14:00,사직,SK,7,6,롯데,승,패,플레이오프
2011-10-17 18:00,사직,SK,1,4,롯데,패,승,플레이오프
2011-10-23 14:00,사직,SK,8,4,롯데,승,패,플레이오프
2012-03-17 13:00,사직,두산,2,7,롯데,패,승,시범경기
2012-03-18 13:00,사직,두산,4,0,롯데,승,패,시범경기
2012-03-23 13:00,사직,기아,5,2,롯데,승,패,시범경기
2012-03-24 13:00,사직,LG,2,5,롯데,패,승,시범경기
2012-03-25 13:00,사직,LG,4,3,롯데,승,패,시범경기
2012-03-29 13:00,사직,넥센,8,4,롯데,승,패,시범경기
2012-03-31 13:00,사직,SK,3,2,롯데,승,패,시범경기
