Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,원정팀결과,홈팀결과,비고
2011-06-04 14:00,사직,LG,6,4,롯데,승,패,정규시즌
2011-06-05 17:00,사직,LG,5,11,롯데,패,승,정규시즌
2011-06-07 18:30,대구,롯데,1,9,삼성,패,승,정규시즌
2011-06-08 18:30,대구,롯데,4,12,삼성,패,승,정규시즌
2011-06-09 18:30,대구,롯데,13,7,삼성,승,패,정규시즌
2011-06-10 18:30,사직,한화,6,7,롯데,패,승,정규시즌
2011-06-11 17:00,사직,한화,9,3,롯데,승,패,정규시즌
2011-06-12 17:00,사직,한화,2,17,롯데,패,승,정규시즌
2011-06-14 18:30,문학,롯데,5,8,SK,패,승,정규시즌
2011-06-15 18:30,문학,롯데,1,4,SK,패,승,정규시즌
2011-06-16 18:30,문학,롯데,7,2,SK,승,패,정규시즌
2011-06-17 18:30,목동,롯데,1,8,넥센,패,승,정규시즌
2011-06-18 17:00,목동,롯데,3,7,넥센,패,승,정규시즌
2011-06-19 17:00,목동,롯데,10,4,넥센,승,패,정규시즌
2011-06-21 18:30,사직,두산,6,3,롯데,승,패,정규시즌
2011-06-23 18:30,사직,두산,9,5,롯데,승,패,정규시즌
2011-06-28 18:30,사직,기아,7,2,롯데,승,패,정규시즌
2011-06-29 18:30,사직,기아,7,2,롯데,승,패,정규시즌
2011-06-30 18:30,사직,기아,0,4,롯데,패,승,정규시즌
2011-07-01 18:30,대구,롯데,4,5,삼성,패,승,정규시즌
2011-07-02 17:00,대구,롯데,8,4,삼성,승,패,정규시즌
2011-07-05 18:30,잠실,롯데,6,2,두산,승,패,정규시즌
2011-07-06 18:30,잠실,롯데,4,1,두산,승,패,정규시즌
2011-07-08 18:30,문학,롯데,2,10,SK,패,승,정규시즌
2011-07-09 17:00,문학,롯데,1,2,SK,패,승,정규시즌
2011-07-12 18:30,사직,한화,3,11,롯데,패,승,정규시즌
2011-07-14 18:30,사직,한화,3,4,롯데,패,승,정규시즌
2011-07-15 18:30,사직,LG,6,10,롯데,패,승,정규시즌
2011-07-16 17:00,사직,LG,4,5,롯데,패,승,정규시즌
2011-07-17 17:00,사직,LG,4,0,롯데,승,패,정규시즌
2011-07-19 18:30,잠실,롯데,5,3,두산,승,패,정규시즌
2011-07-20 18:30,잠실,롯데,13,5,두산,승,패,정규시즌
2011-07-21 18:30,잠실,롯데,4,6,두산,패,승,정규시즌
2011-07-26 18:30,사직,SK,11,2,롯데,승,패,정규시즌
2011-07-28 18:30,사직,SK,4,6,롯데,패,승,정규시즌
2011-07-29 18:30,사직,두산,1,4,롯데,패,승,정규시즌
2011-07-30 17:00,사직,두산,6,8,롯데,패,승,정규시즌
2011-07-31 17:00,사직,두산,7,8,롯데,패,승,정규시즌
2011-08-02 18:30,대전,롯데,9,3,한화,승,패,정규시즌
2011-08-04 18:30,대전,롯데,9,1,한화,승,패,정규시즌
2011-08-05 18:30,사직,삼성,2,0,롯데,승,패,정규시즌
2011-08-06 17:00,사직,삼성,4,11,롯데,패,승,정규시즌
2011-08-07 17:00,사직,삼성,3,1,롯데,승,패,정규시즌
2011-08-09 18:30,사직,넥센,3,1,롯데,승,패,정규시즌
2011-08-10 18:30,사직,넥센,3,4,롯데,패,승,정규시즌
2011-08-11 18:30,사직,넥센,3,5,롯데,패,승,정규시즌
2011-08-13 17:00,잠실,롯데,4,6,LG,패,승,정규시즌
2011-08-14 17:00,잠실,롯데,4,1,LG,승,패,정규시즌
2011-08-16 18:30,무등,롯데,7,2,기아,승,패,정규시즌
2011-08-17 18:30,무등,롯데,9,3,기아,승,패,정규시즌
2011-08-18 18:30,무등,롯데,4,1,기아,승,패,정규시즌
2011-08-20 17:00,사직,SK,5,2,롯데,승,패,정규시즌
2011-08-21 17:00,사직,SK,1,9,롯데,패,승,정규시즌
2011-08-23 18:30,사직,기아,9,13,롯데,패,승,정규시즌
2011-08-24 18:30,사직,기아,4,12,롯데,패,승,정규시즌
2011-08-25 18:30,사직,기아,0,6,롯데,패,승,정규시즌
2011-08-26 18:30,목동,롯데,2,1,넥센,승,패,정규시즌
2011-08-27 17:00,목동,롯데,2,6,넥센,패,승,정규시즌
2011-08-28 17:00,목동,롯데,6,3,넥센,승,패,정규시즌
2011-08-30 18:30,사직,삼성,13,3,롯데,승,패,정규시즌
2011-08-31 18:30,사직,삼성,2,8,롯데,패,승,정규시즌
2011-09-01 18:30,사직,기아,1,2,롯데,패,승,정규시즌
2011-09-02 18:30,잠실,롯데,6,2,LG,승,패,정규시즌
2011-09-03 17:00,잠실,롯데,7,1,LG,승,패,정규시즌
2011-09-04 17:00,잠실,롯데,1,3,LG,패,승,정규시즌
2011-09-08 18:30,문학,롯데,2,2,SK,무,무,정규시즌
2011-09-09 18:30,문학,롯데,9,10,SK,패,승,정규시즌
2011-09-10 17:00,사직,넥센,6,7,롯데,패,승,정규시즌
2011-09-11 17:00,사직,넥센,2,2,롯데,무,무,정규시즌
2011-09-13 17:00,대구,롯데,5,0,삼성,승,패,정규시즌
2011-09-14 18:30,대구,롯데,5,8,삼성,패,승,정규시즌
2011-09-15 18:30,청주,롯데,12,7,한화,승,패,정규시즌
2011-09-16 18:30,청주,롯데,10,12,한화,패,승,정규시즌
2011-09-17 17:00,잠실,롯데,2,10,두산,패,승,정규시즌
2011-09-18 17:00,잠실,롯데,6,3,두산,승,패,정규시즌
2011-09-20 18:30,사직,SK,4,5,롯데,패,승,정규시즌
2011-09-21 18:30,사직,SK,6,2,롯데,승,패,정규시즌
2011-09-22 18:30,사직,SK,2,12,롯데,패,승,정규시즌
2011-09-24 17:00,대전,롯데,6,1,한화,승,패,정규시즌
2011-09-25 17:00,대전,롯데,3,4,한화,패,승,정규시즌
2011-09-30 18:30,사직,두산,3,6,롯데,패,승,정규시즌
2011-10-04 18:30,사직,한화,2,20,롯데,패,승,정규시즌
2011-10-05 18:30,사직,한화,3,6,롯데,패,승,정규시즌
2011-10-06 18:30,사직,한화,3,5,롯데,패,승,정규시즌
2011-10-16 14:00,사직,SK,7,6,롯데,승,패,플레이오프
2011-10-17 18:00,사직,SK,1,4,롯데,패,승,플레이오프
2011-10-19 18:00,문학,롯데,0,3,SK,패,승,플레이오프
2011-10-20 18:00,문학,롯데,2,0,SK,승,패,플레이오프
2011-10-23 14:00,사직,SK,8,4,롯데,승,패,플레이오프
2012-03-17 13:00,사직,두산,2,7,롯데,패,승,시범경기
2012-03-18 13:00,사직,두산,4,0,롯데,승,패,시범경기
2012-03-20 13:00,청주,롯데,9,2,한화,승,패,시범경기
2012-03-21 13:00,청주,롯데,6,7,한화,패,승,시범경기
2012-03-23 13:00,사직,기아,5,2,롯데,승,패,시범경기
2012-03-24 13:00,사직,LG,2,5,롯데,패,승,시범경기
2012-03-25 13:00,사직,LG,4,3,롯데,승,패,시범경기
2012-03-27 13:00,대구,롯데,2,5,삼성,패,승,시범경기
2012-03-28 13:00,대구,롯데,4,5,삼성,패,승,시범경기
2012-03-29 13:00,사직,넥센,8,4,롯데,승,패,시범경기
2012-03-31 13:00,사직,SK,3,2,롯데,승,패,시범경기
2012-04-01 13:00,사직,SK,9,2,롯데,승,패,시범경기
2012-04-07 13:55,사직,한화,1,4,롯데,패,승,정규시즌
2012-04-08 14:00,사직,한화,5,10,롯데,패,승,정규시즌
2012-04-11 18:30,잠실,롯데,8,3,LG,승,패,정규시즌
2012-04-12 18:30,잠실,롯데,0,4,LG,패,승,정규시즌
2012-04-13 18:30,사직,두산,6,1,롯데,승,패,정규시즌
2012-04-14 17:00,사직,두산,3,3,롯데,무,무,정규시즌
2012-04-15 14:00,사직,두산,0,5,롯데,패,승,정규시즌
2012-04-17 18:30,사직,SK,2,3,롯데,패,승,정규시즌
2012-04-18 18:30,사직,SK,8,2,롯데,승,패,정규시즌
2012-04-19 18:30,사직,SK,3,6,롯데,패,승,정규시즌
2012-04-20 18:30,무등,롯데,11,7,기아,승,패,정규시즌
2012-04-24 18:30,대구,롯데,6,2,삼성,승,패,정규시즌
2012-04-26 18:30,대구,롯데,3,6,삼성,패,승,정규시즌
